epoch,batch_num,total_batches,total_loss,primary_loss,auxiliary_loss,learning_rate
1,1,52,3.072,2.0339,2.0762,0.0001
1,2,52,2.8712,1.9486,1.8454,0.0001
1,3,52,2.6407,1.8667,1.548,0.0001
1,4,52,2.4451,1.7849,1.3203,0.0001
1,5,52,2.2227,1.7039,1.0377,0.0001
1,6,52,2.5787,1.8251,1.5071,0.0001
1,7,52,2.0383,1.5836,0.9094,0.0001
1,8,52,1.9053,1.4916,0.8275,0.0001
1,9,52,1.6938,1.3655,0.6565,0.0001
1,10,52,1.5436,1.2695,0.5483,0.0001
1,11,52,1.4069,1.1765,0.4607,0.0001
1,12,52,1.2828,1.0827,0.4001,0.0001
1,13,52,1.1701,0.9932,0.3537,0.0001
1,14,52,1.0667,0.9062,0.321,0.0001
1,15,52,1.7004,1.1386,1.1235,0.0001
1,16,52,0.8726,0.7393,0.2666,0.0001
1,17,52,0.79,0.6684,0.2432,0.0001
1,18,52,1.4075,0.9629,0.8893,0.0001
1,19,52,1.3131,0.9366,0.7529,0.0001
1,20,52,0.6274,0.5016,0.2516,0.0001
1,21,52,0.5764,0.4594,0.234,0.0001
1,22,52,1.5308,1.1079,0.8457,0.0001
1,23,52,0.5178,0.39,0.2557,0.0001
1,24,52,0.4896,0.3622,0.2549,0.0001
1,25,52,0.6611,0.4688,0.3846,0.0001
1,26,52,0.4073,0.3101,0.1945,0.0001
1,27,52,0.3742,0.286,0.1763,0.0001
1,28,52,0.3428,0.2627,0.1601,0.0001
1,29,52,0.7065,0.5098,0.3934,0.0001
1,30,52,0.2897,0.2233,0.1328,0.0001
1,31,52,0.2676,0.2058,0.1236,0.0001
1,32,52,1.3128,0.91,0.8056,0.0001
1,33,52,1.8307,1.2362,1.189,0.0001
1,34,52,1.8764,1.3168,1.1192,0.0001
1,35,52,1.4135,1.0214,0.7843,0.0001
1,36,52,0.2647,0.1682,0.193,0.0001
1,37,52,1.621,1.1939,0.8541,0.0001
1,38,52,0.2877,0.1694,0.2366,0.0001
1,39,52,0.304,0.1701,0.2678,0.0001
1,40,52,0.3256,0.1701,0.311,0.0001
1,41,52,0.2809,0.1683,0.2252,0.0001
1,42,52,0.6244,0.4444,0.3601,0.0001
1,43,52,0.8944,0.658,0.4727,0.0001
1,44,52,0.6603,0.4387,0.4431,0.0001
1,45,52,2.2623,1.6358,1.253,0.0001
1,46,52,0.2851,0.1675,0.2352,0.0001
1,47,52,0.8212,0.5941,0.4542,0.0001
1,48,52,0.2802,0.1743,0.2117,0.0001
1,49,52,0.2843,0.1764,0.2158,0.0001
1,50,52,0.454,0.3172,0.2734,0.0001
1,51,52,1.0802,0.7835,0.5934,0.0001
1,52,52,0.2632,0.1749,0.1766,0.0001
2,1,52,1.6129,1.1606,0.9046,0.0001
2,2,52,0.6061,0.4287,0.3547,0.0001
2,3,52,0.2569,0.1742,0.1654,0.0001
2,4,52,1.2231,0.8863,0.6737,0.0001
2,5,52,0.2626,0.175,0.1751,0.0001
2,6,52,0.2533,0.1752,0.1562,0.0001
2,7,52,0.2461,0.1731,0.146,0.0001
2,8,52,0.261,0.1696,0.1828,0.0001
2,9,52,0.2594,0.1646,0.1895,0.0001
2,10,52,1.0635,0.7812,0.5646,0.0001
2,11,52,1.0159,0.7509,0.5299,0.0001
2,12,52,0.6288,0.423,0.4115,0.0001
2,13,52,0.2108,0.152,0.1176,0.0001
2,14,52,0.2141,0.1497,0.1289,0.0001
2,15,52,0.2082,0.1461,0.1242,0.0001
2,16,52,1.1093,0.8194,0.5798,0.0001
2,17,52,2.9526,2.0391,1.8271,0.0001
2,18,52,0.2085,0.1414,0.1341,0.0001
2,19,52,0.6748,0.4965,0.3566,0.0001
2,20,52,1.399,0.9994,0.7992,0.0001
2,21,52,1.7062,1.2426,0.9272,0.0001
2,22,52,0.2503,0.1476,0.2053,0.0001
2,23,52,0.2367,0.1495,0.1744,0.0001
2,24,52,0.2365,0.15,0.173,0.0001
2,25,52,0.4193,0.2938,0.2511,0.0001
2,26,52,0.7817,0.5861,0.3912,0.0001
2,27,52,0.5906,0.4207,0.3399,0.0001
2,28,52,0.2316,0.1465,0.1703,0.0001
2,29,52,2.2595,1.6405,1.238,0.0001
2,30,52,0.2275,0.1476,0.1599,0.0001
2,31,52,0.2501,0.1491,0.2019,0.0001
2,32,52,0.2241,0.1484,0.1514,0.0001
2,33,52,0.5635,0.4199,0.2871,0.0001
2,34,52,0.2288,0.1458,0.1658,0.0001
2,35,52,0.2043,0.143,0.1227,0.0001
2,36,52,0.2337,0.1402,0.187,0.0001
2,37,52,0.2063,0.1355,0.1417,0.0001
2,38,52,0.6926,0.483,0.4192,0.0001
2,39,52,1.6251,1.1877,0.8748,0.0001
2,40,52,0.2921,0.2008,0.1827,0.0001
2,41,52,0.2865,0.1993,0.1742,0.0001
2,42,52,0.4392,0.2993,0.2797,0.0001
2,43,52,0.1692,0.1216,0.0951,0.0001
2,44,52,0.1601,0.1185,0.0833,0.0001
2,45,52,1.173,0.808,0.73,0.0001
2,46,52,0.1662,0.1146,0.1033,0.0001
2,47,52,0.1525,0.1124,0.0801,0.0001
2,48,52,0.1618,0.1107,0.102,0.0001
2,49,52,0.1493,0.1076,0.0835,0.0001
2,50,52,1.9404,1.3867,1.1075,0.0001
2,51,52,0.9627,0.6934,0.5387,0.0001
2,52,52,0.1538,0.1042,0.0993,0.0001
3,1,52,0.1531,0.1039,0.0984,0.0001
3,2,52,0.1488,0.103,0.0918,0.0001
3,3,52,0.1675,0.1017,0.1317,0.0001
3,4,52,0.1519,0.0994,0.1051,0.0001
3,5,52,0.4174,0.283,0.2689,0.0001
3,6,52,0.1348,0.0941,0.0814,0.0001
3,7,52,0.692,0.5113,0.3612,0.0001
3,8,52,0.1525,0.0904,0.1242,0.0001
3,9,52,0.1246,0.0876,0.0741,0.0001
3,10,52,0.1187,0.0853,0.0668,0.0001
3,11,52,0.1141,0.0827,0.0628,0.0001
3,12,52,1.2478,0.9013,0.6929,0.0001
3,13,52,0.613,0.451,0.324,0.0001
3,14,52,0.1183,0.0806,0.0755,0.0001
3,15,52,1.8641,1.3406,1.047,0.0001
3,16,52,1.2268,0.9414,0.5709,0.0001
3,17,52,0.1336,0.0877,0.0917,0.0001
3,18,52,0.6066,0.4323,0.3485,0.0001
3,19,52,1.7922,1.3907,0.8031,0.0001
3,20,52,2.9834,2.0823,1.8022,0.0001
3,21,52,0.2399,0.1092,0.2615,0.0001
3,22,52,0.8188,0.6572,0.3232,0.0001
3,23,52,2.1757,1.6732,1.005,0.0001
3,24,52,1.5762,1.238,0.6765,0.0001
3,25,52,0.3444,0.1461,0.3966,0.0001
3,26,52,0.3498,0.1563,0.3871,0.0001
3,27,52,0.3537,0.1642,0.3789,0.0001
3,28,52,0.2816,0.1701,0.223,0.0001
3,29,52,0.2557,0.1727,0.1661,0.0001
3,30,52,0.2445,0.173,0.143,0.0001
3,31,52,0.2416,0.1691,0.145,0.0001
3,32,52,0.6143,0.4089,0.4108,0.0001
3,33,52,0.1991,0.1593,0.0797,0.0001
3,34,52,0.415,0.2899,0.2502,0.0001
3,35,52,0.6637,0.4163,0.4948,0.0001
3,36,52,1.3977,0.8982,0.999,0.0001
3,37,52,0.1751,0.1385,0.0732,0.0001
3,38,52,0.1775,0.1365,0.082,0.0001
3,39,52,0.1743,0.1329,0.0828,0.0001
3,40,52,0.846,0.5819,0.5282,0.0001
3,41,52,0.1786,0.1281,0.1009,0.0001
3,42,52,0.1728,0.1247,0.0961,0.0001
3,43,52,0.1578,0.1183,0.0791,0.0001
3,44,52,1.8606,1.248,1.2251,0.0001
3,45,52,1.0971,0.7912,0.6119,0.0001
3,46,52,0.2878,0.1908,0.194,0.0001
3,47,52,0.1848,0.1157,0.1383,0.0001
3,48,52,0.2066,0.1171,0.1792,0.0001
3,49,52,1.0287,0.7686,0.5203,0.0001
3,50,52,0.2845,0.1891,0.1908,0.0001
3,51,52,1.3912,1.022,0.7383,0.0001
3,52,52,0.6568,0.4767,0.3602,0.0001
4,1,52,0.194,0.1167,0.1547,0.0001
4,2,52,0.1781,0.1148,0.1266,0.0001
4,3,52,0.2119,0.1186,0.1865,0.0001
4,4,52,0.8433,0.6318,0.4229,0.0001
4,5,52,1.6598,1.2073,0.9049,0.0001
4,6,52,0.1832,0.1167,0.133,0.0001
4,7,52,2.8525,1.9594,1.7861,0.0001
4,8,52,0.209,0.1228,0.1724,0.0001
4,9,52,0.2039,0.1248,0.1583,0.0001
4,10,52,0.6339,0.452,0.3639,0.0001
4,11,52,0.1986,0.1268,0.1435,0.0001
4,12,52,0.1944,0.1263,0.1362,0.0001
4,13,52,0.1763,0.1222,0.1082,0.0001
4,14,52,1.0034,0.7257,0.5555,0.0001
4,15,52,1.3201,0.9406,0.7589,0.0001
4,16,52,0.1941,0.1259,0.1364,0.0001
4,17,52,0.5269,0.3864,0.2811,0.0001
4,18,52,1.0482,0.7645,0.5674,0.0001
4,19,52,0.2761,0.1946,0.1631,0.0001
4,20,52,0.2164,0.1383,0.1562,0.0001
4,21,52,0.5989,0.4036,0.3905,0.0001
4,22,52,0.2144,0.1349,0.1589,0.0001
4,23,52,1.4834,1.0879,0.791,0.0001
4,24,52,0.2974,0.199,0.1968,0.0001
4,25,52,0.2035,0.1391,0.1288,0.0001
4,26,52,0.1918,0.1335,0.1166,0.0001
4,27,52,1.5676,1.1452,0.8449,0.0001
4,28,52,0.2237,0.1362,0.1749,0.0001
4,29,52,0.4765,0.3123,0.3285,0.0001
4,30,52,1.1061,0.7449,0.7225,0.0001
4,31,52,0.2047,0.1337,0.142,0.0001
4,32,52,0.1712,0.1227,0.0969,0.0001
4,33,52,0.7758,0.5521,0.4473,0.0001
4,34,52,1.197,0.8552,0.6835,0.0001
4,35,52,0.1751,0.122,0.1062,0.0001
4,36,52,0.185,0.1275,0.1151,0.0001
4,37,52,0.1911,0.1265,0.129,0.0001
4,38,52,0.1879,0.1278,0.1202,0.0001
4,39,52,0.1715,0.1202,0.1027,0.0001
4,40,52,0.5366,0.3817,0.3098,0.0001
4,41,52,0.1611,0.1049,0.1124,0.0001
4,42,52,0.1349,0.0937,0.0825,0.0001
4,43,52,0.3571,0.2476,0.219,0.0001
4,44,52,0.64,0.4677,0.3447,0.0001
4,45,52,1.9075,1.3398,1.1353,0.0001
4,46,52,0.1298,0.0903,0.079,0.0001
4,47,52,0.1288,0.0904,0.0768,0.0001
4,48,52,2.5063,1.716,1.5806,0.0001
4,49,52,0.1482,0.1055,0.0853,0.0001
4,50,52,0.921,0.6866,0.4689,0.0001
4,51,52,0.1971,0.1292,0.1357,0.0001
4,52,52,0.5715,0.3719,0.3992,0.0001
5,1,52,0.2113,0.137,0.1486,0.0001
5,2,52,1.4532,1.0543,0.7978,0.0001
5,3,52,1.3078,0.9727,0.6701,0.0001
5,4,52,0.2358,0.1499,0.1718,0.0001
5,5,52,0.5378,0.3418,0.3919,0.0001
5,6,52,0.424,0.2787,0.2906,0.0001
5,7,52,0.8431,0.6157,0.4547,0.0001
5,8,52,0.3364,0.1905,0.2918,0.0001
5,9,52,0.2504,0.1693,0.1622,0.0001
5,10,52,0.2319,0.1563,0.1511,0.0001
5,11,52,1.0829,0.6929,0.78,0.0001
5,12,52,1.0562,0.7603,0.5918,0.0001
5,13,52,0.6954,0.5014,0.388,0.0001
5,14,52,0.2761,0.1796,0.1931,0.0001
5,15,52,0.2392,0.1644,0.1496,0.0001
5,16,52,0.2818,0.1795,0.2046,0.0001
5,17,52,0.228,0.1595,0.137,0.0001
5,18,52,0.2692,0.1765,0.1855,0.0001
5,19,52,0.233,0.1535,0.159,0.0001
5,20,52,0.2032,0.141,0.1244,0.0001
5,21,52,0.1735,0.1249,0.0972,0.0001
5,22,52,0.1426,0.1028,0.0797,0.0001
5,23,52,0.1842,0.1205,0.1274,0.0001
5,24,52,0.1159,0.0828,0.0664,0.0001
5,25,52,1.0468,0.7296,0.6345,0.0001
5,26,52,0.1033,0.0735,0.0598,0.0001
5,27,52,1.4533,0.9958,0.915,0.0001
5,28,52,0.0955,0.0684,0.0542,0.0001
5,29,52,1.1142,0.7754,0.6776,0.0001
5,30,52,0.1376,0.0918,0.0917,0.0001
5,31,52,0.1037,0.0735,0.0603,0.0001
5,32,52,0.1265,0.0885,0.0761,0.0001
5,33,52,0.674,0.4525,0.4428,0.0001
5,34,52,2.4482,1.6772,1.542,0.0001
5,35,52,3.1068,2.0597,2.0941,0.0001
5,36,52,0.25,0.1715,0.1572,0.0001
5,37,52,0.1538,0.1087,0.0903,0.0001
5,38,52,0.1784,0.1228,0.1111,0.0001
5,39,52,0.5058,0.3456,0.3203,0.0001
5,40,52,0.2136,0.1376,0.1519,0.0001
5,41,52,0.506,0.3449,0.3222,0.0001
5,42,52,0.5582,0.3872,0.342,0.0001
5,43,52,1.6155,1.14,0.9511,0.0001
5,44,52,0.2394,0.1605,0.1579,0.0001
5,45,52,0.3095,0.2002,0.2187,0.0001
5,46,52,0.6696,0.4657,0.4078,0.0001
5,47,52,0.6079,0.4269,0.362,0.0001
5,48,52,0.234,0.1571,0.1537,0.0001
5,49,52,1.5035,1.0538,0.8994,0.0001
5,50,52,0.2238,0.1505,0.1466,0.0001
5,51,52,0.214,0.1439,0.1402,0.0001
5,52,52,0.4588,0.3267,0.2642,0.0001
6,1,52,0.4767,0.3291,0.2952,0.0001
6,2,52,0.206,0.1408,0.1304,0.0001
6,3,52,0.1939,0.1333,0.1214,0.0001
6,4,52,0.1804,0.1164,0.1281,0.0001
6,5,52,0.1752,0.1175,0.1154,0.0001
6,6,52,0.5326,0.387,0.2914,0.0001
6,7,52,0.149,0.1033,0.0914,0.0001
6,8,52,0.1582,0.1025,0.1115,0.0001
6,9,52,0.1252,0.0892,0.0721,0.0001
6,10,52,0.1502,0.101,0.0985,0.0001
6,11,52,1.4781,0.9912,0.9739,0.0001
6,12,52,0.8426,0.574,0.5373,0.0001
6,13,52,1.6891,1.1519,1.0743,0.0001
6,14,52,1.1961,0.8311,0.73,0.0001
6,15,52,0.1203,0.078,0.0846,0.0001
6,16,52,0.3583,0.234,0.2486,0.0001
6,17,52,0.2195,0.1272,0.1847,0.0001
6,18,52,1.934,1.3625,1.1428,0.0001
6,19,52,0.298,0.2012,0.1937,0.0001
6,20,52,0.2277,0.1495,0.1564,0.0001
6,21,52,0.3401,0.2155,0.2492,0.0001
6,22,52,0.262,0.1594,0.2052,0.0001
6,23,52,0.2333,0.1584,0.1498,0.0001
6,24,52,0.1998,0.1342,0.1312,0.0001
6,25,52,0.2617,0.169,0.1854,0.0001
6,26,52,0.7038,0.4803,0.447,0.0001
6,27,52,0.862,0.6014,0.5211,0.0001
6,28,52,0.2461,0.1561,0.1799,0.0001
6,29,52,0.166,0.1137,0.1047,0.0001
6,30,52,0.5361,0.3688,0.3347,0.0001
6,31,52,0.4923,0.3336,0.3174,0.0001
6,32,52,1.5667,1.0756,0.9823,0.0001
6,33,52,0.8523,0.577,0.5507,0.0001
6,34,52,0.6296,0.4171,0.4249,0.0001
6,35,52,0.7436,0.5171,0.4529,0.0001
6,36,52,1.3132,0.8943,0.8378,0.0001
6,37,52,0.2105,0.1438,0.1333,0.0001
6,38,52,0.2104,0.1435,0.1339,0.0001
6,39,52,0.1938,0.1365,0.1145,0.0001
6,40,52,0.251,0.1626,0.1768,0.0001
6,41,52,0.8118,0.5549,0.5139,0.0001
6,42,52,0.3869,0.2722,0.2294,0.0001
6,43,52,0.2177,0.1587,0.1181,0.0001
6,44,52,0.2187,0.1481,0.1411,0.0001
6,45,52,0.4823,0.3245,0.3156,0.0001
6,46,52,0.2475,0.1539,0.187,0.0001
6,47,52,0.1844,0.1275,0.1137,0.0001
6,48,52,2.7909,1.8505,1.8808,0.0001
6,49,52,0.0889,0.0539,0.0699,0.0001
6,50,52,1.4767,1.0171,0.9192,0.0001
6,51,52,0.1518,0.096,0.1115,0.0001
6,52,52,0.1688,0.113,0.1117,0.0001
7,1,52,0.4741,0.3179,0.3122,0.0001
7,2,52,1.0162,0.6999,0.6326,0.0001
7,3,52,1.6983,1.1243,1.1481,0.0001
7,4,52,0.1776,0.1163,0.1225,0.0001
7,5,52,0.497,0.3452,0.3037,0.0001
7,6,52,1.0894,0.7398,0.6993,0.0001
7,7,52,0.212,0.1481,0.1278,0.0001
7,8,52,0.2944,0.2074,0.174,0.0001
7,9,52,0.2415,0.1724,0.1381,0.0001
7,10,52,0.5382,0.3705,0.3354,0.0001
7,11,52,0.1537,0.1058,0.0958,0.0001
7,12,52,0.3584,0.2386,0.2397,0.0001
7,13,52,0.157,0.1131,0.0878,0.0001
7,14,52,0.141,0.0972,0.0877,0.0001
7,15,52,0.566,0.3863,0.3595,0.0001
7,16,52,0.674,0.4674,0.4132,0.0001
7,17,52,0.0946,0.0602,0.0687,0.0001
7,18,52,2.991,2.0624,1.8572,0.0001
7,19,52,0.2241,0.1574,0.1334,0.0001
7,20,52,0.8788,0.5607,0.6361,0.0001
7,21,52,0.5467,0.3689,0.3555,0.0001
7,22,52,0.1761,0.1234,0.1053,0.0001
7,23,52,1.0369,0.7009,0.6721,0.0001
7,24,52,0.7419,0.5114,0.4609,0.0001
7,25,52,0.2225,0.1564,0.1323,0.0001
7,26,52,0.5946,0.4076,0.374,0.0001
7,27,52,0.2798,0.1805,0.1986,0.0001
7,28,52,0.2977,0.1926,0.2103,0.0001
7,29,52,1.2664,0.8684,0.7958,0.0001
7,30,52,0.2307,0.1445,0.1724,0.0001
7,31,52,0.251,0.1778,0.1464,0.0001
7,32,52,0.5746,0.3948,0.3596,0.0001
7,33,52,0.233,0.1619,0.1422,0.0001
7,34,52,0.2402,0.1545,0.1715,0.0001
7,35,52,0.2901,0.1865,0.2073,0.0001
7,36,52,0.7853,0.5361,0.4985,0.0001
7,37,52,0.1773,0.1269,0.1008,0.0001
7,38,52,0.153,0.106,0.0941,0.0001
7,39,52,0.2125,0.1449,0.1351,0.0001
7,40,52,2.2622,1.5372,1.4499,0.0001
7,41,52,0.1338,0.0981,0.0713,0.0001
7,42,52,1.3641,0.9383,0.8516,0.0001
7,43,52,0.3547,0.2496,0.2101,0.0001
7,44,52,0.1704,0.1145,0.1117,0.0001
7,45,52,0.1447,0.0939,0.1014,0.0001
7,46,52,0.2875,0.1917,0.1916,0.0001
7,47,52,0.2176,0.142,0.1513,0.0001
7,48,52,0.2779,0.1827,0.1903,0.0001
7,49,52,0.1288,0.0866,0.0844,0.0001
7,50,52,0.1939,0.1262,0.1354,0.0001
7,51,52,0.3421,0.2262,0.2318,0.0001
7,52,52,1.2608,0.868,0.7856,0.0001
8,1,52,1.4572,1.0019,0.9105,0.0001
8,2,52,0.1856,0.1255,0.1201,0.0001
8,3,52,0.9498,0.6296,0.6405,0.0001
8,4,52,0.1357,0.0947,0.0819,0.0001
8,5,52,1.4332,0.9391,0.9882,0.0001
8,6,52,0.145,0.1032,0.0835,0.0001
8,7,52,0.7094,0.4729,0.4731,0.0001
8,8,52,0.4219,0.2948,0.254,0.0001
8,9,52,0.1738,0.1188,0.1101,0.0001
8,10,52,0.7093,0.4686,0.4814,0.0001
8,11,52,0.735,0.4858,0.4985,0.0001
8,12,52,0.5238,0.3502,0.3471,0.0001
8,13,52,0.287,0.2044,0.1653,0.0001
8,14,52,0.2392,0.1676,0.1432,0.0001
8,15,52,0.2475,0.1795,0.1359,0.0001
8,16,52,0.2378,0.1706,0.1344,0.0001
8,17,52,0.2061,0.1414,0.1294,0.0001
8,18,52,0.362,0.2305,0.2629,0.0001
8,19,52,0.2061,0.1459,0.1203,0.0001
8,20,52,0.1841,0.1159,0.1363,0.0001
8,21,52,0.148,0.1016,0.0928,0.0001
8,22,52,0.1421,0.0904,0.1034,0.0001
8,23,52,0.1902,0.1284,0.1236,0.0001
8,24,52,0.1354,0.0854,0.1001,0.0001
8,25,52,0.0835,0.0515,0.0639,0.0001
8,26,52,0.5578,0.3955,0.3245,0.0001
8,27,52,0.0708,0.0439,0.0537,0.0001
8,28,52,2.7596,1.9087,1.7018,0.0001
8,29,52,0.6826,0.471,0.4232,0.0001
8,30,52,0.0609,0.0336,0.0547,0.0001
8,31,52,0.0789,0.0503,0.057,0.0001
8,32,52,0.1153,0.0729,0.0848,0.0001
8,33,52,0.0987,0.0655,0.0663,0.0001
8,34,52,0.7083,0.4763,0.4639,0.0001
8,35,52,0.7518,0.5133,0.477,0.0001
8,36,52,0.6903,0.4784,0.4238,0.0001
8,37,52,0.1406,0.0959,0.0895,0.0001
8,38,52,0.1367,0.0878,0.0976,0.0001
8,39,52,0.4749,0.3266,0.2965,0.0001
8,40,52,0.5278,0.3607,0.3343,0.0001
8,41,52,1.297,0.9086,0.7768,0.0001
8,42,52,1.4594,0.9998,0.9192,0.0001
8,43,52,0.8379,0.576,0.5237,0.0001
8,44,52,0.3747,0.2416,0.2663,0.0001
8,45,52,2.8638,1.9088,1.91,0.0001
8,46,52,0.2292,0.14,0.1785,0.0001
8,47,52,0.2587,0.1548,0.2077,0.0001
8,48,52,0.3426,0.2131,0.2591,0.0001
8,49,52,0.2726,0.1599,0.2255,0.0001
8,50,52,0.1945,0.1194,0.1503,0.0001
8,51,52,1.3529,0.9643,0.7772,0.0001
8,52,52,0.2292,0.1474,0.1635,0.0001
9,1,52,0.2072,0.1421,0.1302,0.0001
9,2,52,1.885,1.2233,1.3234,0.0001
9,3,52,0.4864,0.3382,0.2965,0.0001
9,4,52,1.3015,0.9198,0.7633,0.0001
9,5,52,0.2361,0.181,0.1102,0.0001
9,6,52,0.303,0.2057,0.1946,0.0001
9,7,52,0.1864,0.1301,0.1127,0.0001
9,8,52,1.1556,0.812,0.6873,0.0001
9,9,52,0.1795,0.1233,0.1124,0.0001
9,10,52,0.284,0.2005,0.1669,0.0001
9,11,52,0.1676,0.1165,0.1022,0.0001
9,12,52,0.1938,0.1318,0.1239,0.0001
9,13,52,0.2498,0.1593,0.1809,0.0001
9,14,52,0.1538,0.096,0.1155,0.0001
9,15,52,0.2497,0.1547,0.1899,0.0001
9,16,52,2.6828,1.8483,1.6691,0.0001
9,17,52,0.1534,0.0978,0.1113,0.0001
9,18,52,0.0854,0.0513,0.0682,0.0001
9,19,52,0.0867,0.0509,0.0717,0.0001
9,20,52,0.6204,0.3936,0.4536,0.0001
9,21,52,0.3154,0.2062,0.2185,0.0001
9,22,52,0.0979,0.0598,0.0761,0.0001
9,23,52,0.8139,0.567,0.4939,0.0001
9,24,52,0.1837,0.1184,0.1305,0.0001
9,25,52,0.0742,0.0371,0.0742,0.0001
9,26,52,0.0539,0.0275,0.0528,0.0001
9,27,52,1.3465,0.8975,0.898,0.0001
9,28,52,0.8759,0.5774,0.5971,0.0001
9,29,52,1.4,0.9159,0.9681,0.0001
9,30,52,0.0823,0.0509,0.0627,0.0001
9,31,52,0.9232,0.633,0.5805,0.0001
9,32,52,0.0781,0.0473,0.0617,0.0001
9,33,52,0.3072,0.2067,0.201,0.0001
9,34,52,0.1455,0.0945,0.1021,0.0001
9,35,52,0.9004,0.6057,0.5894,0.0001
9,36,52,0.1773,0.1175,0.1196,0.0001
9,37,52,0.7127,0.4687,0.4881,0.0001
9,38,52,0.0835,0.0507,0.0655,0.0001
9,39,52,0.427,0.2884,0.2772,0.0001
9,40,52,0.5804,0.4093,0.3422,0.0001
9,41,52,0.1975,0.1376,0.1197,0.0001
9,42,52,0.4266,0.312,0.2292,0.0001
9,43,52,0.6644,0.4232,0.4824,0.0001
9,44,52,1.5039,0.9638,1.0802,0.0001
9,45,52,0.2118,0.163,0.0975,0.0001
9,46,52,0.5504,0.3661,0.3686,0.0001
9,47,52,0.5089,0.3556,0.3066,0.0001
9,48,52,0.3151,0.2248,0.1806,0.0001
9,49,52,0.2356,0.1793,0.1126,0.0001
9,50,52,0.2628,0.1775,0.1706,0.0001
9,51,52,0.9315,0.6151,0.6327,0.0001
9,52,52,0.2215,0.1618,0.1193,0.0001
10,1,52,0.2738,0.1921,0.1633,0.0001
10,2,52,0.1403,0.0955,0.0896,0.0001
10,3,52,1.579,1.0499,1.0582,0.0001
10,4,52,0.5654,0.3603,0.4103,0.0001
10,5,52,0.295,0.1887,0.2125,0.0001
10,6,52,1.047,0.6946,0.7048,0.0001
10,7,52,0.1373,0.0893,0.096,0.0001
10,8,52,0.7472,0.4942,0.506,0.0001
10,9,52,0.1098,0.0624,0.0948,0.0001
10,10,52,0.1033,0.0552,0.0962,0.0001
10,11,52,0.4718,0.3219,0.2999,0.0001
10,12,52,0.4809,0.3454,0.271,0.0001
10,13,52,0.1499,0.0838,0.1321,0.0001
10,14,52,1.7402,1.1882,1.1041,0.0001
10,15,52,0.1214,0.0679,0.107,0.0001
10,16,52,0.0757,0.04,0.0715,0.0001
10,17,52,0.6208,0.4172,0.4072,0.0001
10,18,52,0.1405,0.0959,0.0892,0.0001
10,19,52,0.1594,0.1155,0.0878,0.0001
10,20,52,0.2521,0.1718,0.1607,0.0001
10,21,52,2.7898,1.8541,1.8712,0.0001
10,22,52,0.4003,0.2516,0.2974,0.0001
10,23,52,0.5918,0.4021,0.3795,0.0001
10,24,52,0.0978,0.0513,0.0929,0.0001
10,25,52,0.297,0.2131,0.1679,0.0001
10,26,52,0.0788,0.0356,0.0864,0.0001
10,27,52,0.8345,0.5523,0.5645,0.0001
10,28,52,0.4538,0.3212,0.2651,0.0001
10,29,52,0.3663,0.2405,0.2515,0.0001
10,30,52,0.8183,0.5287,0.5792,0.0001
10,31,52,0.0585,0.0259,0.0652,0.0001
10,32,52,0.1185,0.0658,0.1052,0.0001
10,33,52,0.0548,0.0244,0.0609,0.0001
10,34,52,0.0656,0.026,0.0792,0.0001
10,35,52,0.4353,0.2818,0.307,0.0001
10,36,52,1.0017,0.7207,0.562,0.0001
